[2026-01-29 10:29:51][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04c/exp05/train_20260129_102951_gpu5_pid1035506.log
[2026-01-29 10:29:51][INFO] 进程 PID: 1035506
[2026-01-29 10:29:51][INFO] ========== PINN 训练开始 ==========
[2026-01-29 10:29:51][INFO] 物理项权重 λ_pde = 3.0
[2026-01-29 10:29:51][INFO] 使用设备: cuda
[2026-01-29 10:29:51][INFO] 训练参数: {'lambda_pde': 3.0, 'epochs': 200, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.03, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04c/exp05', 'ckpt_dir': 'checkpoints/M04c/exp05'}
[2026-01-29 10:29:51][INFO] 数据集大小: 141 cases
[2026-01-29 10:29:51][INFO] 每 case 采样点数: 320000
[2026-01-29 10:29:52][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-29 10:29:52][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-29 10:32:09][INFO] [Epoch 001] MSE Loss=21745.874886 | PDE Loss=8.035244 | λ_pde=3.000e+00 | LR=5.00e-03
[2026-01-29 10:34:22][INFO] [Epoch 002] MSE Loss=976.667818 | PDE Loss=1.028901 | λ_pde=2.911e+00 | LR=5.00e-03
[2026-01-29 10:36:36][INFO] [Epoch 003] MSE Loss=869.539089 | PDE Loss=0.470200 | λ_pde=2.825e+00 | LR=5.00e-03
[2026-01-29 10:38:53][INFO] [Epoch 004] MSE Loss=815.195538 | PDE Loss=0.498260 | λ_pde=2.742e+00 | LR=5.00e-03
[2026-01-29 10:41:10][INFO] [Epoch 005] MSE Loss=836.118908 | PDE Loss=0.557573 | λ_pde=2.661e+00 | LR=5.00e-03
[2026-01-29 10:43:23][INFO] [Epoch 006] MSE Loss=835.699960 | PDE Loss=0.652232 | λ_pde=2.582e+00 | LR=5.00e-03
[2026-01-29 10:45:38][INFO] [Epoch 007] MSE Loss=806.326459 | PDE Loss=0.760022 | λ_pde=2.506e+00 | LR=5.00e-03
[2026-01-29 10:47:53][INFO] [Epoch 008] MSE Loss=820.422777 | PDE Loss=0.848698 | λ_pde=2.432e+00 | LR=5.00e-03
[2026-01-29 10:50:07][INFO] [Epoch 009] MSE Loss=797.707149 | PDE Loss=1.032059 | λ_pde=2.360e+00 | LR=5.00e-03
[2026-01-29 10:52:21][INFO] [Epoch 010] MSE Loss=828.300331 | PDE Loss=1.247158 | λ_pde=2.290e+00 | LR=5.00e-03
[2026-01-29 10:54:37][INFO] [Epoch 011] MSE Loss=873.027987 | PDE Loss=1.501657 | λ_pde=2.222e+00 | LR=5.00e-03
[2026-01-29 10:56:51][INFO] [Epoch 012] MSE Loss=818.215192 | PDE Loss=1.600580 | λ_pde=2.157e+00 | LR=5.00e-03
[2026-01-29 10:59:05][INFO] [Epoch 013] MSE Loss=810.081074 | PDE Loss=1.584570 | λ_pde=2.093e+00 | LR=5.00e-03
[2026-01-29 11:01:19][INFO] [Epoch 014] MSE Loss=769.678789 | PDE Loss=1.742920 | λ_pde=2.031e+00 | LR=5.00e-03
[2026-01-29 11:03:31][INFO] [Epoch 015] MSE Loss=815.413003 | PDE Loss=1.961194 | λ_pde=1.971e+00 | LR=5.00e-03
[2026-01-29 11:05:47][INFO] [Epoch 016] MSE Loss=830.796285 | PDE Loss=1.853863 | λ_pde=1.913e+00 | LR=5.00e-03
[2026-01-29 11:08:06][INFO] [Epoch 017] MSE Loss=862.019548 | PDE Loss=1.996190 | λ_pde=1.856e+00 | LR=5.00e-03
