[2026-01-28 13:36:35][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04b/exp02/train_20260128_133635_gpu2_pid3368688.log
[2026-01-28 13:36:35][INFO] 进程 PID: 3368688
[2026-01-28 13:36:35][INFO] ========== PINN 训练开始 ==========
[2026-01-28 13:36:35][INFO] 物理项权重 λ_pde = 0.5
[2026-01-28 13:36:35][INFO] 使用设备: cuda
[2026-01-28 13:36:35][INFO] 训练参数: {'lambda_pde': 0.5, 'epochs': 120, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.03, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04b/exp02', 'ckpt_dir': 'checkpoints/M04b/exp02'}
[2026-01-28 13:36:35][INFO] 数据集大小: 141 cases
[2026-01-28 13:36:35][INFO] 每 case 采样点数: 320000
[2026-01-28 13:36:37][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-28 13:36:37][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-28 13:39:13][INFO] [Epoch 001] Loss=0.153925 | PDE=0.001175 | λ_pde=5.000e-01 | LR=5.00e-03
[2026-01-28 13:41:52][INFO] [Epoch 002] Loss=0.098156 | PDE=0.006443 | λ_pde=4.852e-01 | LR=5.00e-03
[2026-01-28 13:44:27][INFO] [Epoch 003] Loss=0.088820 | PDE=0.008013 | λ_pde=4.709e-01 | LR=5.00e-03
[2026-01-28 13:47:01][INFO] [Epoch 004] Loss=0.086253 | PDE=0.008122 | λ_pde=4.570e-01 | LR=5.00e-03
[2026-01-28 13:49:38][INFO] [Epoch 005] Loss=0.092479 | PDE=0.015159 | λ_pde=4.435e-01 | LR=5.00e-03
[2026-01-28 13:52:10][INFO] [Epoch 006] Loss=0.087219 | PDE=0.004158 | λ_pde=4.304e-01 | LR=5.00e-03
[2026-01-28 13:54:46][INFO] [Epoch 007] Loss=0.081537 | PDE=0.005114 | λ_pde=4.176e-01 | LR=5.00e-03
[2026-01-28 13:57:22][INFO] [Epoch 008] Loss=0.087771 | PDE=0.015871 | λ_pde=4.053e-01 | LR=5.00e-03
[2026-01-28 13:59:57][INFO] [Epoch 009] Loss=0.079080 | PDE=0.004029 | λ_pde=3.933e-01 | LR=5.00e-03
[2026-01-28 14:02:37][INFO] [Epoch 010] Loss=0.081436 | PDE=0.003780 | λ_pde=3.817e-01 | LR=5.00e-03
[2026-01-28 14:05:13][INFO] [Epoch 011] Loss=0.077592 | PDE=0.003734 | λ_pde=3.704e-01 | LR=5.00e-03
[2026-01-28 14:07:48][INFO] [Epoch 012] Loss=0.081185 | PDE=0.010141 | λ_pde=3.595e-01 | LR=5.00e-03
[2026-01-28 14:10:25][INFO] [Epoch 013] Loss=0.077437 | PDE=0.005555 | λ_pde=3.488e-01 | LR=5.00e-03
[2026-01-28 14:13:01][INFO] [Epoch 014] Loss=0.077367 | PDE=0.005849 | λ_pde=3.385e-01 | LR=5.00e-03
[2026-01-28 14:15:35][INFO] [Epoch 015] Loss=0.080375 | PDE=0.014175 | λ_pde=3.285e-01 | LR=5.00e-03
[2026-01-28 14:18:11][INFO] [Epoch 016] Loss=0.078522 | PDE=0.009626 | λ_pde=3.188e-01 | LR=5.00e-03
