[2026-01-28 13:36:35][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04b/exp08/train_20260128_133635_gpu3_pid3368727.log
[2026-01-28 13:36:35][INFO] 进程 PID: 3368727
[2026-01-28 13:36:35][INFO] ========== PINN 训练开始 ==========
[2026-01-28 13:36:35][INFO] 物理项权重 λ_pde = 1.0
[2026-01-28 13:36:35][INFO] 使用设备: cuda
[2026-01-28 13:36:35][INFO] 训练参数: {'lambda_pde': 1.0, 'epochs': 120, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.1, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04b/exp08', 'ckpt_dir': 'checkpoints/M04b/exp8'}
[2026-01-28 13:36:35][INFO] 数据集大小: 141 cases
[2026-01-28 13:36:35][INFO] 每 case 采样点数: 320000
[2026-01-28 13:36:36][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-28 13:36:36][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-28 13:39:12][INFO] [Epoch 001] Loss=0.160712 | PDE=0.000605 | λ_pde=1.000e+00 | LR=5.00e-03
[2026-01-28 13:41:49][INFO] [Epoch 002] Loss=0.099247 | PDE=0.004034 | λ_pde=9.048e-01 | LR=5.00e-03
[2026-01-28 13:44:23][INFO] [Epoch 003] Loss=0.101970 | PDE=0.006834 | λ_pde=8.187e-01 | LR=5.00e-03
[2026-01-28 13:46:59][INFO] [Epoch 004] Loss=0.092656 | PDE=0.005666 | λ_pde=7.408e-01 | LR=5.00e-03
[2026-01-28 13:49:34][INFO] [Epoch 005] Loss=0.087018 | PDE=0.005257 | λ_pde=6.703e-01 | LR=5.00e-03
[2026-01-28 13:52:08][INFO] [Epoch 006] Loss=0.087851 | PDE=0.004479 | λ_pde=6.065e-01 | LR=5.00e-03
[2026-01-28 13:54:44][INFO] [Epoch 007] Loss=0.084429 | PDE=0.005888 | λ_pde=5.488e-01 | LR=5.00e-03
[2026-01-28 13:57:21][INFO] [Epoch 008] Loss=0.079934 | PDE=0.003995 | λ_pde=4.966e-01 | LR=5.00e-03
[2026-01-28 13:59:57][INFO] [Epoch 009] Loss=0.077592 | PDE=0.002587 | λ_pde=4.493e-01 | LR=5.00e-03
[2026-01-28 14:02:34][INFO] [Epoch 010] Loss=0.077551 | PDE=0.003574 | λ_pde=4.066e-01 | LR=5.00e-03
[2026-01-28 14:05:11][INFO] [Epoch 011] Loss=0.079387 | PDE=0.004532 | λ_pde=3.679e-01 | LR=5.00e-03
[2026-01-28 14:07:44][INFO] [Epoch 012] Loss=0.076580 | PDE=0.003893 | λ_pde=3.329e-01 | LR=5.00e-03
[2026-01-28 14:10:21][INFO] [Epoch 013] Loss=0.077595 | PDE=0.003731 | λ_pde=3.012e-01 | LR=5.00e-03
[2026-01-28 14:12:55][INFO] [Epoch 014] Loss=0.075456 | PDE=0.003908 | λ_pde=2.725e-01 | LR=5.00e-03
[2026-01-28 14:15:32][INFO] [Epoch 015] Loss=0.075765 | PDE=0.007948 | λ_pde=2.466e-01 | LR=5.00e-03
[2026-01-28 14:18:07][INFO] [Epoch 016] Loss=0.074955 | PDE=0.005777 | λ_pde=2.231e-01 | LR=5.00e-03
[2026-01-28 14:20:41][INFO] [Epoch 017] Loss=0.074724 | PDE=0.007656 | λ_pde=2.019e-01 | LR=5.00e-03
[2026-01-28 14:23:17][INFO] [Epoch 018] Loss=0.074478 | PDE=0.007493 | λ_pde=1.827e-01 | LR=5.00e-03
[2026-01-28 14:25:52][INFO] [Epoch 019] Loss=0.078003 | PDE=0.011756 | λ_pde=1.653e-01 | LR=5.00e-03
[2026-01-28 14:28:31][INFO] [Epoch 020] Loss=0.076090 | PDE=0.011523 | λ_pde=1.496e-01 | LR=5.00e-03
[2026-01-28 14:31:07][INFO] [Epoch 021] Loss=0.074068 | PDE=0.008582 | λ_pde=1.353e-01 | LR=5.00e-03
[2026-01-28 14:33:42][INFO] [Epoch 022] Loss=0.074229 | PDE=0.010645 | λ_pde=1.225e-01 | LR=5.00e-03
[2026-01-28 14:36:18][INFO] [Epoch 023] Loss=0.072318 | PDE=0.009801 | λ_pde=1.108e-01 | LR=5.00e-03
[2026-01-28 14:38:55][INFO] [Epoch 024] Loss=0.071888 | PDE=0.010436 | λ_pde=1.003e-01 | LR=5.00e-03
[2026-01-28 14:41:30][INFO] [Epoch 025] Loss=0.072999 | PDE=0.013678 | λ_pde=9.072e-02 | LR=5.00e-03
[2026-01-28 14:44:09][INFO] [Epoch 026] Loss=0.071928 | PDE=0.014728 | λ_pde=8.208e-02 | LR=5.00e-03
[2026-01-28 14:46:42][INFO] [Epoch 027] Loss=0.071956 | PDE=0.016591 | λ_pde=7.427e-02 | LR=5.00e-03
[2026-01-28 14:49:17][INFO] [Epoch 028] Loss=0.081940 | PDE=0.040364 | λ_pde=6.721e-02 | LR=5.00e-03
[2026-01-28 14:51:53][INFO] [Epoch 029] Loss=0.071125 | PDE=0.023985 | λ_pde=6.081e-02 | LR=5.00e-03
[2026-01-28 14:54:28][INFO] [Epoch 030] Loss=0.070298 | PDE=0.023905 | λ_pde=5.502e-02 | LR=5.00e-03
[2026-01-28 14:57:05][INFO] [Epoch 031] Loss=0.070508 | PDE=0.029057 | λ_pde=4.979e-02 | LR=5.00e-03
[2026-01-28 14:59:41][INFO] [Epoch 032] Loss=0.070448 | PDE=0.034498 | λ_pde=4.505e-02 | LR=5.00e-03
[2026-01-28 15:02:16][INFO] [Epoch 033] Loss=0.070138 | PDE=0.039322 | λ_pde=4.076e-02 | LR=5.00e-03
[2026-01-28 15:04:53][INFO] [Epoch 034] Loss=0.069713 | PDE=0.042070 | λ_pde=3.688e-02 | LR=5.00e-03
[2026-01-28 15:07:30][INFO] [Epoch 035] Loss=0.069119 | PDE=0.049232 | λ_pde=3.337e-02 | LR=5.00e-03
[2026-01-28 15:10:08][INFO] [Epoch 036] Loss=0.068913 | PDE=0.057289 | λ_pde=3.020e-02 | LR=5.00e-03
[2026-01-28 15:12:42][INFO] [Epoch 037] Loss=0.070920 | PDE=0.071038 | λ_pde=2.732e-02 | LR=5.00e-03
[2026-01-28 15:15:15][INFO] [Epoch 038] Loss=0.069570 | PDE=0.072254 | λ_pde=2.472e-02 | LR=5.00e-03
[2026-01-28 15:17:49][INFO] [Epoch 039] Loss=0.067615 | PDE=0.078855 | λ_pde=2.237e-02 | LR=5.00e-03
[2026-01-28 15:20:26][INFO] [Epoch 040] Loss=0.067136 | PDE=0.090594 | λ_pde=2.024e-02 | LR=5.00e-03
[2026-01-28 15:23:00][INFO] [Epoch 041] Loss=0.066983 | PDE=0.101728 | λ_pde=1.832e-02 | LR=5.00e-03
[2026-01-28 15:25:37][INFO] [Epoch 042] Loss=0.067042 | PDE=0.118943 | λ_pde=1.657e-02 | LR=5.00e-03
[2026-01-28 15:28:14][INFO] [Epoch 043] Loss=0.066872 | PDE=0.136132 | λ_pde=1.500e-02 | LR=5.00e-03
[2026-01-28 15:30:49][INFO] [Epoch 044] Loss=0.066607 | PDE=0.154800 | λ_pde=1.357e-02 | LR=5.00e-03
[2026-01-28 15:33:24][INFO] [Epoch 045] Loss=0.066010 | PDE=0.174729 | λ_pde=1.228e-02 | LR=5.00e-03
[2026-01-28 15:36:00][INFO] [Epoch 046] Loss=0.065376 | PDE=0.203482 | λ_pde=1.111e-02 | LR=5.00e-03
[2026-01-28 15:38:36][INFO] [Epoch 047] Loss=0.065932 | PDE=0.232948 | λ_pde=1.005e-02 | LR=5.00e-03
[2026-01-28 15:41:12][INFO] [Epoch 048] Loss=0.065804 | PDE=0.265565 | λ_pde=9.095e-03 | LR=5.00e-03
[2026-01-28 15:43:45][INFO] [Epoch 049] Loss=0.064481 | PDE=0.301969 | λ_pde=8.230e-03 | LR=5.00e-03
[2026-01-28 15:46:21][INFO] [Epoch 050] Loss=0.064306 | PDE=0.348905 | λ_pde=7.447e-03 | LR=5.00e-03
[2026-01-28 15:48:57][INFO] [Epoch 051] Loss=0.063996 | PDE=0.401776 | λ_pde=6.738e-03 | LR=5.00e-03
[2026-01-28 15:51:33][INFO] [Epoch 052] Loss=0.063760 | PDE=0.457529 | λ_pde=6.097e-03 | LR=5.00e-03
[2026-01-28 15:54:09][INFO] [Epoch 053] Loss=0.062986 | PDE=0.512927 | λ_pde=5.517e-03 | LR=5.00e-03
[2026-01-28 15:56:49][INFO] [Epoch 054] Loss=0.063378 | PDE=0.582852 | λ_pde=4.992e-03 | LR=5.00e-03
[2026-01-28 15:59:23][INFO] [Epoch 055] Loss=0.065187 | PDE=0.693040 | λ_pde=4.517e-03 | LR=5.00e-03
[2026-01-28 16:01:59][INFO] [Epoch 056] Loss=0.062627 | PDE=0.746367 | λ_pde=4.087e-03 | LR=5.00e-03
[2026-01-28 16:04:33][INFO] [Epoch 057] Loss=0.063388 | PDE=0.840647 | λ_pde=3.698e-03 | LR=5.00e-03
[2026-01-28 16:07:10][INFO] [Epoch 058] Loss=0.060756 | PDE=0.949871 | λ_pde=3.346e-03 | LR=5.00e-03
[2026-01-28 16:09:49][INFO] [Epoch 059] Loss=0.061240 | PDE=1.088586 | λ_pde=3.028e-03 | LR=5.00e-03
[2026-01-28 16:12:26][INFO] [Epoch 060] Loss=0.060601 | PDE=1.233642 | λ_pde=2.739e-03 | LR=5.00e-03
[2026-01-28 16:15:02][INFO] [Epoch 061] Loss=0.061078 | PDE=1.374620 | λ_pde=2.479e-03 | LR=5.00e-03
[2026-01-28 16:17:37][INFO] [Epoch 062] Loss=0.059736 | PDE=1.544751 | λ_pde=2.243e-03 | LR=5.00e-03
[2026-01-28 16:20:11][INFO] [Epoch 063] Loss=0.059213 | PDE=1.753790 | λ_pde=2.029e-03 | LR=5.00e-03
[2026-01-28 16:22:46][INFO] [Epoch 064] Loss=0.058690 | PDE=1.971972 | λ_pde=1.836e-03 | LR=5.00e-03
[2026-01-28 16:25:24][INFO] [Epoch 065] Loss=0.058507 | PDE=2.219892 | λ_pde=1.662e-03 | LR=5.00e-03
[2026-01-28 16:28:00][INFO] [Epoch 066] Loss=0.059066 | PDE=2.528203 | λ_pde=1.503e-03 | LR=5.00e-03
[2026-01-28 16:30:35][INFO] [Epoch 067] Loss=0.058284 | PDE=2.832084 | λ_pde=1.360e-03 | LR=5.00e-03
[2026-01-28 16:33:13][INFO] [Epoch 068] Loss=0.056716 | PDE=3.208209 | λ_pde=1.231e-03 | LR=5.00e-03
[2026-01-28 16:35:48][INFO] [Epoch 069] Loss=0.057101 | PDE=3.571174 | λ_pde=1.114e-03 | LR=5.00e-03
[2026-01-28 16:38:22][INFO] [Epoch 070] Loss=0.056853 | PDE=4.028621 | λ_pde=1.008e-03 | LR=5.00e-03
[2026-01-28 16:41:03][INFO] [Epoch 071] Loss=0.055976 | PDE=4.512592 | λ_pde=9.119e-04 | LR=5.00e-03
[2026-01-28 16:43:42][INFO] [Epoch 072] Loss=0.055296 | PDE=5.101555 | λ_pde=8.251e-04 | LR=5.00e-03
[2026-01-28 16:46:20][INFO] [Epoch 073] Loss=0.054799 | PDE=5.743743 | λ_pde=7.466e-04 | LR=5.00e-03
[2026-01-28 16:48:56][INFO] [Epoch 074] Loss=0.053745 | PDE=6.492770 | λ_pde=6.755e-04 | LR=5.00e-03
[2026-01-28 16:51:31][INFO] [Epoch 075] Loss=0.053755 | PDE=7.260380 | λ_pde=6.113e-04 | LR=5.00e-03
[2026-01-28 16:54:07][INFO] [Epoch 076] Loss=0.053575 | PDE=8.124402 | λ_pde=5.531e-04 | LR=5.00e-03
[2026-01-28 16:56:38][INFO] [Epoch 077] Loss=0.052996 | PDE=9.159929 | λ_pde=5.005e-04 | LR=5.00e-03
[2026-01-28 16:59:12][INFO] [Epoch 078] Loss=0.053243 | PDE=10.246964 | λ_pde=4.528e-04 | LR=5.00e-03
[2026-01-28 17:01:50][INFO] [Epoch 079] Loss=0.052029 | PDE=11.494621 | λ_pde=4.097e-04 | LR=5.00e-03
[2026-01-28 17:04:27][INFO] [Epoch 080] Loss=0.051564 | PDE=13.018067 | λ_pde=3.707e-04 | LR=5.00e-03
[2026-01-28 17:06:59][INFO] [Epoch 081] Loss=0.050364 | PDE=14.713917 | λ_pde=3.355e-04 | LR=5.00e-03
[2026-01-28 17:09:34][INFO] [Epoch 082] Loss=0.050017 | PDE=16.649164 | λ_pde=3.035e-04 | LR=5.00e-03
[2026-01-28 17:12:08][INFO] [Epoch 083] Loss=0.049618 | PDE=18.609793 | λ_pde=2.747e-04 | LR=5.00e-03
[2026-01-28 17:14:43][INFO] [Epoch 084] Loss=0.048674 | PDE=21.051327 | λ_pde=2.485e-04 | LR=5.00e-03
[2026-01-28 17:17:16][INFO] [Epoch 085] Loss=0.048317 | PDE=23.463546 | λ_pde=2.249e-04 | LR=5.00e-03
[2026-01-28 17:19:52][INFO] [Epoch 086] Loss=0.048309 | PDE=26.090472 | λ_pde=2.035e-04 | LR=5.00e-03
