[2026-01-29 10:29:51][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04c/exp01/train_20260129_102951_gpu1_pid1035480.log
[2026-01-29 10:29:51][INFO] 进程 PID: 1035480
[2026-01-29 10:29:51][INFO] ========== PINN 训练开始 ==========
[2026-01-29 10:29:51][INFO] 物理项权重 λ_pde = 0.1
[2026-01-29 10:29:51][INFO] 使用设备: cuda
[2026-01-29 10:29:51][INFO] 训练参数: {'lambda_pde': 0.1, 'epochs': 200, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.03, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04c/exp01', 'ckpt_dir': 'checkpoints/M04c/exp01'}
[2026-01-29 10:29:51][INFO] 数据集大小: 141 cases
[2026-01-29 10:29:51][INFO] 每 case 采样点数: 320000
[2026-01-29 10:29:52][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-29 10:29:52][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-29 10:32:08][INFO] [Epoch 001] MSE Loss=20592.807944 | PDE Loss=31.088889 | λ_pde=1.000e-01 | LR=5.00e-03
[2026-01-29 10:34:24][INFO] [Epoch 002] MSE Loss=1001.569765 | PDE Loss=33.064090 | λ_pde=9.704e-02 | LR=5.00e-03
[2026-01-29 10:36:39][INFO] [Epoch 003] MSE Loss=882.864189 | PDE Loss=15.441446 | λ_pde=9.418e-02 | LR=5.00e-03
[2026-01-29 10:38:55][INFO] [Epoch 004] MSE Loss=829.929821 | PDE Loss=2.563983 | λ_pde=9.139e-02 | LR=5.00e-03
[2026-01-29 10:41:13][INFO] [Epoch 005] MSE Loss=817.589359 | PDE Loss=8.150092 | λ_pde=8.869e-02 | LR=5.00e-03
[2026-01-29 10:43:25][INFO] [Epoch 006] MSE Loss=790.119684 | PDE Loss=20.498431 | λ_pde=8.607e-02 | LR=5.00e-03
[2026-01-29 10:45:45][INFO] [Epoch 007] MSE Loss=880.533694 | PDE Loss=24.139471 | λ_pde=8.353e-02 | LR=5.00e-03
[2026-01-29 10:48:03][INFO] [Epoch 008] MSE Loss=795.338964 | PDE Loss=32.966828 | λ_pde=8.106e-02 | LR=5.00e-03
[2026-01-29 10:50:20][INFO] [Epoch 009] MSE Loss=833.477633 | PDE Loss=34.633793 | λ_pde=7.866e-02 | LR=5.00e-03
[2026-01-29 10:52:37][INFO] [Epoch 010] MSE Loss=818.574804 | PDE Loss=36.094414 | λ_pde=7.634e-02 | LR=5.00e-03
[2026-01-29 10:54:51][INFO] [Epoch 011] MSE Loss=788.824667 | PDE Loss=42.312335 | λ_pde=7.408e-02 | LR=5.00e-03
[2026-01-29 10:57:08][INFO] [Epoch 012] MSE Loss=827.268782 | PDE Loss=41.258324 | λ_pde=7.189e-02 | LR=5.00e-03
[2026-01-29 10:59:26][INFO] [Epoch 013] MSE Loss=787.167350 | PDE Loss=48.035895 | λ_pde=6.977e-02 | LR=5.00e-03
[2026-01-29 11:01:43][INFO] [Epoch 014] MSE Loss=826.541289 | PDE Loss=48.211423 | λ_pde=6.771e-02 | LR=5.00e-03
[2026-01-29 11:04:02][INFO] [Epoch 015] MSE Loss=842.188588 | PDE Loss=50.338304 | λ_pde=6.570e-02 | LR=5.00e-03
[2026-01-29 11:06:23][INFO] [Epoch 016] MSE Loss=777.793153 | PDE Loss=49.844858 | λ_pde=6.376e-02 | LR=5.00e-03
[2026-01-29 11:08:42][INFO] [Epoch 017] MSE Loss=777.469097 | PDE Loss=52.041080 | λ_pde=6.188e-02 | LR=5.00e-03
[2026-01-29 11:11:01][INFO] [Epoch 018] MSE Loss=732.409293 | PDE Loss=53.889374 | λ_pde=6.005e-02 | LR=5.00e-03
[2026-01-29 11:13:18][INFO] [Epoch 019] MSE Loss=843.709538 | PDE Loss=55.518309 | λ_pde=5.827e-02 | LR=5.00e-03
[2026-01-29 11:15:36][INFO] [Epoch 020] MSE Loss=768.121698 | PDE Loss=61.501660 | λ_pde=5.655e-02 | LR=5.00e-03
[2026-01-29 11:17:57][INFO] [Epoch 021] MSE Loss=784.156023 | PDE Loss=68.416417 | λ_pde=5.488e-02 | LR=5.00e-03
[2026-01-29 11:20:17][INFO] [Epoch 022] MSE Loss=835.976709 | PDE Loss=84.373040 | λ_pde=5.326e-02 | LR=5.00e-03
[2026-01-29 11:22:37][INFO] [Epoch 023] MSE Loss=731.219611 | PDE Loss=94.434975 | λ_pde=5.169e-02 | LR=5.00e-03
[2026-01-29 11:24:58][INFO] [Epoch 024] MSE Loss=731.778490 | PDE Loss=110.129811 | λ_pde=5.016e-02 | LR=5.00e-03
[2026-01-29 11:27:20][INFO] [Epoch 025] MSE Loss=683.226249 | PDE Loss=128.833080 | λ_pde=4.868e-02 | LR=5.00e-03
[2026-01-29 11:29:42][INFO] [Epoch 026] MSE Loss=753.527751 | PDE Loss=158.327867 | λ_pde=4.724e-02 | LR=5.00e-03
[2026-01-29 11:32:03][INFO] [Epoch 027] MSE Loss=662.481148 | PDE Loss=159.642115 | λ_pde=4.584e-02 | LR=5.00e-03
[2026-01-29 11:34:20][INFO] [Epoch 028] MSE Loss=677.742113 | PDE Loss=181.788462 | λ_pde=4.449e-02 | LR=5.00e-03
[2026-01-29 11:36:35][INFO] [Epoch 029] MSE Loss=685.205925 | PDE Loss=202.449807 | λ_pde=4.317e-02 | LR=5.00e-03
[2026-01-29 11:38:51][INFO] [Epoch 030] MSE Loss=699.324622 | PDE Loss=208.547028 | λ_pde=4.190e-02 | LR=5.00e-03
[2026-01-29 11:41:06][INFO] [Epoch 031] MSE Loss=648.156612 | PDE Loss=210.257993 | λ_pde=4.066e-02 | LR=5.00e-03
[2026-01-29 11:43:21][INFO] [Epoch 032] MSE Loss=665.504135 | PDE Loss=223.249821 | λ_pde=3.946e-02 | LR=5.00e-03
[2026-01-29 11:45:40][INFO] [Epoch 033] MSE Loss=679.408928 | PDE Loss=241.194761 | λ_pde=3.829e-02 | LR=5.00e-03
[2026-01-29 11:48:01][INFO] [Epoch 034] MSE Loss=659.812017 | PDE Loss=255.688739 | λ_pde=3.716e-02 | LR=5.00e-03
[2026-01-29 11:50:22][INFO] [Epoch 035] MSE Loss=713.157284 | PDE Loss=262.377941 | λ_pde=3.606e-02 | LR=5.00e-03
[2026-01-29 11:52:40][INFO] [Epoch 036] MSE Loss=656.241249 | PDE Loss=292.636331 | λ_pde=3.499e-02 | LR=5.00e-03
[2026-01-29 11:55:01][INFO] [Epoch 037] MSE Loss=717.899155 | PDE Loss=301.751939 | λ_pde=3.396e-02 | LR=5.00e-03
[2026-01-29 11:57:19][INFO] [Epoch 038] MSE Loss=645.161150 | PDE Loss=298.706981 | λ_pde=3.296e-02 | LR=5.00e-03
[2026-01-29 11:59:36][INFO] [Epoch 039] MSE Loss=655.589828 | PDE Loss=329.783620 | λ_pde=3.198e-02 | LR=5.00e-03
[2026-01-29 12:01:56][INFO] [Epoch 040] MSE Loss=640.725381 | PDE Loss=325.581861 | λ_pde=3.104e-02 | LR=5.00e-03
[2026-01-29 12:04:17][INFO] [Epoch 041] MSE Loss=638.355234 | PDE Loss=341.785013 | λ_pde=3.012e-02 | LR=5.00e-03
[2026-01-29 12:06:36][INFO] [Epoch 042] MSE Loss=693.065279 | PDE Loss=378.522141 | λ_pde=2.923e-02 | LR=5.00e-03
[2026-01-29 12:08:57][INFO] [Epoch 043] MSE Loss=630.859823 | PDE Loss=380.229668 | λ_pde=2.837e-02 | LR=5.00e-03
[2026-01-29 12:11:15][INFO] [Epoch 044] MSE Loss=668.188294 | PDE Loss=397.691479 | λ_pde=2.753e-02 | LR=5.00e-03
[2026-01-29 12:13:34][INFO] [Epoch 045] MSE Loss=677.183189 | PDE Loss=430.098561 | λ_pde=2.671e-02 | LR=5.00e-03
[2026-01-29 12:15:51][INFO] [Epoch 046] MSE Loss=723.400800 | PDE Loss=457.470690 | λ_pde=2.592e-02 | LR=5.00e-03
[2026-01-29 12:18:06][INFO] [Epoch 047] MSE Loss=639.282074 | PDE Loss=454.350350 | λ_pde=2.516e-02 | LR=5.00e-03
[2026-01-29 12:20:23][INFO] [Epoch 048] MSE Loss=640.888176 | PDE Loss=482.229069 | λ_pde=2.441e-02 | LR=5.00e-03
[2026-01-29 12:22:40][INFO] [Epoch 049] MSE Loss=642.949033 | PDE Loss=521.422555 | λ_pde=2.369e-02 | LR=5.00e-03
[2026-01-29 12:24:58][INFO] [Epoch 050] MSE Loss=652.784499 | PDE Loss=513.344647 | λ_pde=2.299e-02 | LR=5.00e-03
[2026-01-29 12:27:15][INFO] [Epoch 051] MSE Loss=599.636936 | PDE Loss=497.764980 | λ_pde=2.231e-02 | LR=2.50e-03
[2026-01-29 12:29:34][INFO] [Epoch 052] MSE Loss=618.034936 | PDE Loss=541.614973 | λ_pde=2.165e-02 | LR=2.50e-03
[2026-01-29 12:31:49][INFO] [Epoch 053] MSE Loss=600.051494 | PDE Loss=547.616921 | λ_pde=2.101e-02 | LR=2.50e-03
[2026-01-29 12:34:04][INFO] [Epoch 054] MSE Loss=609.205664 | PDE Loss=560.362228 | λ_pde=2.039e-02 | LR=2.50e-03
[2026-01-29 12:36:20][INFO] [Epoch 055] MSE Loss=608.654964 | PDE Loss=577.187690 | λ_pde=1.979e-02 | LR=2.50e-03
[2026-01-29 12:38:38][INFO] [Epoch 056] MSE Loss=617.814778 | PDE Loss=601.642690 | λ_pde=1.920e-02 | LR=2.50e-03
[2026-01-29 12:40:53][INFO] [Epoch 057] MSE Loss=628.802313 | PDE Loss=644.536886 | λ_pde=1.864e-02 | LR=2.50e-03
[2026-01-29 12:43:11][INFO] [Epoch 058] MSE Loss=612.971936 | PDE Loss=624.105599 | λ_pde=1.809e-02 | LR=2.50e-03
[2026-01-29 12:45:28][INFO] [Epoch 059] MSE Loss=576.570516 | PDE Loss=685.438153 | λ_pde=1.755e-02 | LR=1.25e-03
[2026-01-29 12:47:47][INFO] [Epoch 060] MSE Loss=571.750930 | PDE Loss=662.356447 | λ_pde=1.703e-02 | LR=1.25e-03
[2026-01-29 12:49:59][INFO] [Epoch 061] MSE Loss=571.767974 | PDE Loss=681.193523 | λ_pde=1.653e-02 | LR=1.25e-03
[2026-01-29 12:52:16][INFO] [Epoch 062] MSE Loss=569.167921 | PDE Loss=669.772193 | λ_pde=1.604e-02 | LR=1.25e-03
[2026-01-29 12:54:35][INFO] [Epoch 063] MSE Loss=580.071278 | PDE Loss=734.842269 | λ_pde=1.557e-02 | LR=1.25e-03
[2026-01-29 12:56:52][INFO] [Epoch 064] MSE Loss=571.638478 | PDE Loss=724.585244 | λ_pde=1.511e-02 | LR=1.25e-03
[2026-01-29 12:59:06][INFO] [Epoch 065] MSE Loss=579.571293 | PDE Loss=749.300246 | λ_pde=1.466e-02 | LR=1.25e-03
[2026-01-29 13:01:22][INFO] [Epoch 066] MSE Loss=570.960698 | PDE Loss=771.736975 | λ_pde=1.423e-02 | LR=1.25e-03
[2026-01-29 13:03:44][INFO] [Epoch 067] MSE Loss=560.518160 | PDE Loss=797.874217 | λ_pde=1.381e-02 | LR=1.25e-03
[2026-01-29 13:06:01][INFO] [Epoch 068] MSE Loss=570.847514 | PDE Loss=827.271635 | λ_pde=1.340e-02 | LR=1.25e-03
[2026-01-29 13:08:13][INFO] [Epoch 069] MSE Loss=569.667159 | PDE Loss=863.800278 | λ_pde=1.300e-02 | LR=1.25e-03
[2026-01-29 13:10:28][INFO] [Epoch 070] MSE Loss=583.823400 | PDE Loss=857.257773 | λ_pde=1.262e-02 | LR=1.25e-03
[2026-01-29 13:12:47][INFO] [Epoch 071] MSE Loss=566.156002 | PDE Loss=936.389296 | λ_pde=1.225e-02 | LR=1.25e-03
[2026-01-29 13:15:04][INFO] [Epoch 072] MSE Loss=575.141904 | PDE Loss=926.340543 | λ_pde=1.188e-02 | LR=1.25e-03
[2026-01-29 13:17:19][INFO] [Epoch 073] MSE Loss=563.209392 | PDE Loss=953.411195 | λ_pde=1.153e-02 | LR=1.25e-03
[2026-01-29 13:19:37][INFO] [Epoch 074] MSE Loss=593.421390 | PDE Loss=1018.636501 | λ_pde=1.119e-02 | LR=1.25e-03
[2026-01-29 13:21:53][INFO] [Epoch 075] MSE Loss=560.278935 | PDE Loss=993.522138 | λ_pde=1.086e-02 | LR=6.25e-04
[2026-01-29 13:24:12][INFO] [Epoch 076] MSE Loss=553.268316 | PDE Loss=1047.880412 | λ_pde=1.054e-02 | LR=6.25e-04
[2026-01-29 13:26:34][INFO] [Epoch 077] MSE Loss=550.265130 | PDE Loss=1064.394173 | λ_pde=1.023e-02 | LR=6.25e-04
[2026-01-29 13:28:49][INFO] [Epoch 078] MSE Loss=542.339952 | PDE Loss=1076.391779 | λ_pde=9.926e-03 | LR=6.25e-04
[2026-01-29 13:31:09][INFO] [Epoch 079] MSE Loss=547.577601 | PDE Loss=1088.291373 | λ_pde=9.633e-03 | LR=6.25e-04
[2026-01-29 13:33:22][INFO] [Epoch 080] MSE Loss=554.732241 | PDE Loss=1125.059205 | λ_pde=9.348e-03 | LR=6.25e-04
[2026-01-29 13:35:37][INFO] [Epoch 081] MSE Loss=555.013586 | PDE Loss=1166.993900 | λ_pde=9.072e-03 | LR=6.25e-04
[2026-01-29 13:37:57][INFO] [Epoch 082] MSE Loss=544.306161 | PDE Loss=1209.616391 | λ_pde=8.804e-03 | LR=6.25e-04
[2026-01-29 13:40:14][INFO] [Epoch 083] MSE Loss=547.301272 | PDE Loss=1215.870300 | λ_pde=8.543e-03 | LR=6.25e-04
[2026-01-29 13:42:34][INFO] [Epoch 084] MSE Loss=545.945162 | PDE Loss=1269.744690 | λ_pde=8.291e-03 | LR=6.25e-04
[2026-01-29 13:44:50][INFO] [Epoch 085] MSE Loss=542.402117 | PDE Loss=1293.243471 | λ_pde=8.046e-03 | LR=6.25e-04
[2026-01-29 13:47:07][INFO] [Epoch 086] MSE Loss=538.791791 | PDE Loss=1311.384462 | λ_pde=7.808e-03 | LR=3.13e-04
[2026-01-29 13:49:24][INFO] [Epoch 087] MSE Loss=538.162125 | PDE Loss=1354.803609 | λ_pde=7.577e-03 | LR=3.13e-04
[2026-01-29 13:51:42][INFO] [Epoch 088] MSE Loss=536.969625 | PDE Loss=1374.484628 | λ_pde=7.353e-03 | LR=3.13e-04
[2026-01-29 13:53:59][INFO] [Epoch 089] MSE Loss=538.858847 | PDE Loss=1401.328862 | λ_pde=7.136e-03 | LR=3.13e-04
[2026-01-29 13:56:19][INFO] [Epoch 090] MSE Loss=533.443164 | PDE Loss=1409.104624 | λ_pde=6.925e-03 | LR=3.13e-04
[2026-01-29 13:58:39][INFO] [Epoch 091] MSE Loss=535.529979 | PDE Loss=1446.706406 | λ_pde=6.721e-03 | LR=3.13e-04
[2026-01-29 14:00:55][INFO] [Epoch 092] MSE Loss=542.764161 | PDE Loss=1463.759534 | λ_pde=6.522e-03 | LR=3.13e-04
