[2026-01-30 16:17:41][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04d/exp01/train_20260130_161741_gpu1_pid2779545.log
[2026-01-30 16:17:41][INFO] 进程 PID: 2779545
[2026-01-30 16:17:41][INFO] ========== PINN 训练开始 ==========
[2026-01-30 16:17:41][INFO] 物理项权重 λ_pde = 0.0
[2026-01-30 16:17:41][INFO] 使用设备: cuda
[2026-01-30 16:17:41][INFO] 训练参数: {'lambda_pde': 0.0, 'epochs': 200, 'lr': 0.005, 'batch_cases': 1, 'lr_scheduler': 'hybrid', 'cosine_tmax': 150, 'cosine_eta_min': 1e-05, 'plateau_factor': 0.5, 'plateau_patience': 6, 'plateau_min_lr': 1e-05, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.2, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04d/exp01', 'ckpt_dir': 'checkpoints/M04d/exp01'}
[2026-01-30 16:17:41][INFO] 数据集大小: 141 cases
[2026-01-30 16:17:41][INFO] 每 case 采样点数: 320000
[2026-01-30 16:17:42][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-30 16:17:42][INFO] 优化器: AdamW, 初始 lr=0.005, 学习率调度器: hybrid
[2026-01-30 16:20:26][INFO] [Epoch 001] MSE Loss=23647.273332 | PDE Loss=18.327862 | λ_pde=0.000e+00 | LR=5.00e-03
[2026-01-30 16:23:07][INFO] [Epoch 002] MSE Loss=918.699797 | PDE Loss=39.241584 | λ_pde=0.000e+00 | LR=5.00e-03
[2026-01-30 16:25:46][INFO] [Epoch 003] MSE Loss=842.494279 | PDE Loss=37.654175 | λ_pde=0.000e+00 | LR=5.00e-03
[2026-01-30 16:28:27][INFO] [Epoch 004] MSE Loss=795.854487 | PDE Loss=23.129636 | λ_pde=0.000e+00 | LR=5.00e-03
[2026-01-30 16:31:10][INFO] [Epoch 005] MSE Loss=834.045781 | PDE Loss=13.810528 | λ_pde=0.000e+00 | LR=4.99e-03
[2026-01-30 16:33:54][INFO] [Epoch 006] MSE Loss=801.558174 | PDE Loss=28.452528 | λ_pde=0.000e+00 | LR=4.99e-03
[2026-01-30 16:36:38][INFO] [Epoch 007] MSE Loss=782.492311 | PDE Loss=58.869135 | λ_pde=0.000e+00 | LR=4.98e-03
[2026-01-30 16:39:19][INFO] [Epoch 008] MSE Loss=819.809334 | PDE Loss=99.478272 | λ_pde=0.000e+00 | LR=4.97e-03
[2026-01-30 16:42:00][INFO] [Epoch 009] MSE Loss=748.289859 | PDE Loss=126.810779 | λ_pde=0.000e+00 | LR=4.97e-03
[2026-01-30 16:44:43][INFO] [Epoch 010] MSE Loss=798.669090 | PDE Loss=129.416685 | λ_pde=0.000e+00 | LR=4.96e-03
[2026-01-30 16:47:24][INFO] [Epoch 011] MSE Loss=801.102161 | PDE Loss=144.503378 | λ_pde=0.000e+00 | LR=4.95e-03
[2026-01-30 16:50:05][INFO] [Epoch 012] MSE Loss=758.959301 | PDE Loss=264.762820 | λ_pde=0.000e+00 | LR=4.93e-03
