[2026-01-28 13:36:35][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04b/exp05/train_20260128_133635_gpu5_pid3368709.log
[2026-01-28 13:36:35][INFO] 进程 PID: 3368709
[2026-01-28 13:36:35][INFO] ========== PINN 训练开始 ==========
[2026-01-28 13:36:35][INFO] 物理项权重 λ_pde = 3.0
[2026-01-28 13:36:35][INFO] 使用设备: cuda
[2026-01-28 13:36:35][INFO] 训练参数: {'lambda_pde': 3.0, 'epochs': 120, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.03, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04b/exp05', 'ckpt_dir': 'checkpoints/M04b/exp05'}
[2026-01-28 13:36:35][INFO] 数据集大小: 141 cases
[2026-01-28 13:36:35][INFO] 每 case 采样点数: 320000
[2026-01-28 13:36:36][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-28 13:36:36][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-28 13:39:11][INFO] [Epoch 001] Loss=0.134463 | PDE=0.000328 | λ_pde=3.000e+00 | LR=5.00e-03
[2026-01-28 13:41:48][INFO] [Epoch 002] Loss=0.113810 | PDE=0.001284 | λ_pde=2.911e+00 | LR=5.00e-03
[2026-01-28 13:44:21][INFO] [Epoch 003] Loss=0.099265 | PDE=0.002100 | λ_pde=2.825e+00 | LR=5.00e-03
[2026-01-28 13:46:58][INFO] [Epoch 004] Loss=0.096160 | PDE=0.001387 | λ_pde=2.742e+00 | LR=5.00e-03
[2026-01-28 13:49:33][INFO] [Epoch 005] Loss=0.098503 | PDE=0.002492 | λ_pde=2.661e+00 | LR=5.00e-03
[2026-01-28 13:52:07][INFO] [Epoch 006] Loss=0.101609 | PDE=0.003023 | λ_pde=2.582e+00 | LR=5.00e-03
[2026-01-28 13:54:45][INFO] [Epoch 007] Loss=0.091978 | PDE=0.001439 | λ_pde=2.506e+00 | LR=5.00e-03
[2026-01-28 13:57:21][INFO] [Epoch 008] Loss=0.090223 | PDE=0.002564 | λ_pde=2.432e+00 | LR=5.00e-03
[2026-01-28 13:59:56][INFO] [Epoch 009] Loss=0.087470 | PDE=0.001995 | λ_pde=2.360e+00 | LR=5.00e-03
[2026-01-28 14:02:33][INFO] [Epoch 010] Loss=0.084250 | PDE=0.001362 | λ_pde=2.290e+00 | LR=5.00e-03
[2026-01-28 14:05:09][INFO] [Epoch 011] Loss=0.087399 | PDE=0.002942 | λ_pde=2.222e+00 | LR=5.00e-03
[2026-01-28 14:07:44][INFO] [Epoch 012] Loss=0.083855 | PDE=0.001209 | λ_pde=2.157e+00 | LR=5.00e-03
[2026-01-28 14:10:19][INFO] [Epoch 013] Loss=0.087148 | PDE=0.002313 | λ_pde=2.093e+00 | LR=5.00e-03
[2026-01-28 14:12:53][INFO] [Epoch 014] Loss=0.080518 | PDE=0.000904 | λ_pde=2.031e+00 | LR=5.00e-03
[2026-01-28 14:15:29][INFO] [Epoch 015] Loss=0.087268 | PDE=0.002236 | λ_pde=1.971e+00 | LR=5.00e-03
[2026-01-28 14:18:06][INFO] [Epoch 016] Loss=0.082517 | PDE=0.001262 | λ_pde=1.913e+00 | LR=5.00e-03
[2026-01-28 14:20:41][INFO] [Epoch 017] Loss=0.085429 | PDE=0.003059 | λ_pde=1.856e+00 | LR=5.00e-03
[2026-01-28 14:23:16][INFO] [Epoch 018] Loss=0.081693 | PDE=0.001160 | λ_pde=1.801e+00 | LR=5.00e-03
[2026-01-28 14:25:51][INFO] [Epoch 019] Loss=0.081660 | PDE=0.001162 | λ_pde=1.748e+00 | LR=5.00e-03
[2026-01-28 14:28:28][INFO] [Epoch 020] Loss=0.083371 | PDE=0.001421 | λ_pde=1.697e+00 | LR=5.00e-03
[2026-01-28 14:31:03][INFO] [Epoch 021] Loss=0.081487 | PDE=0.002699 | λ_pde=1.646e+00 | LR=5.00e-03
[2026-01-28 14:33:40][INFO] [Epoch 022] Loss=0.077776 | PDE=0.000786 | λ_pde=1.598e+00 | LR=2.50e-03
[2026-01-28 14:36:17][INFO] [Epoch 023] Loss=0.075761 | PDE=0.000325 | λ_pde=1.551e+00 | LR=2.50e-03
[2026-01-28 14:38:54][INFO] [Epoch 024] Loss=0.075721 | PDE=0.000324 | λ_pde=1.505e+00 | LR=2.50e-03
[2026-01-28 14:41:29][INFO] [Epoch 025] Loss=0.075225 | PDE=0.000313 | λ_pde=1.460e+00 | LR=2.50e-03
[2026-01-28 14:44:07][INFO] [Epoch 026] Loss=0.075315 | PDE=0.000433 | λ_pde=1.417e+00 | LR=2.50e-03
[2026-01-28 14:46:42][INFO] [Epoch 027] Loss=0.075628 | PDE=0.000679 | λ_pde=1.375e+00 | LR=2.50e-03
[2026-01-28 14:49:17][INFO] [Epoch 028] Loss=0.077786 | PDE=0.002055 | λ_pde=1.335e+00 | LR=2.50e-03
[2026-01-28 14:51:52][INFO] [Epoch 029] Loss=0.075028 | PDE=0.000506 | λ_pde=1.295e+00 | LR=2.50e-03
[2026-01-28 14:54:29][INFO] [Epoch 030] Loss=0.074684 | PDE=0.000421 | λ_pde=1.257e+00 | LR=2.50e-03
[2026-01-28 14:57:05][INFO] [Epoch 031] Loss=0.077524 | PDE=0.000882 | λ_pde=1.220e+00 | LR=2.50e-03
[2026-01-28 14:59:42][INFO] [Epoch 032] Loss=0.076501 | PDE=0.001583 | λ_pde=1.184e+00 | LR=2.50e-03
[2026-01-28 15:02:16][INFO] [Epoch 033] Loss=0.075320 | PDE=0.001177 | λ_pde=1.149e+00 | LR=2.50e-03
[2026-01-28 15:04:54][INFO] [Epoch 034] Loss=0.075470 | PDE=0.000938 | λ_pde=1.115e+00 | LR=2.50e-03
[2026-01-28 15:07:28][INFO] [Epoch 035] Loss=0.074550 | PDE=0.000618 | λ_pde=1.082e+00 | LR=2.50e-03
[2026-01-28 15:10:03][INFO] [Epoch 036] Loss=0.074279 | PDE=0.000547 | λ_pde=1.050e+00 | LR=2.50e-03
[2026-01-28 15:12:40][INFO] [Epoch 037] Loss=0.075245 | PDE=0.001091 | λ_pde=1.019e+00 | LR=2.50e-03
[2026-01-28 15:15:14][INFO] [Epoch 038] Loss=0.075306 | PDE=0.001349 | λ_pde=9.887e-01 | LR=2.50e-03
[2026-01-28 15:17:48][INFO] [Epoch 039] Loss=0.074590 | PDE=0.000957 | λ_pde=9.595e-01 | LR=2.50e-03
[2026-01-28 15:20:22][INFO] [Epoch 040] Loss=0.076213 | PDE=0.002504 | λ_pde=9.311e-01 | LR=2.50e-03
[2026-01-28 15:22:58][INFO] [Epoch 041] Loss=0.075698 | PDE=0.002083 | λ_pde=9.036e-01 | LR=2.50e-03
[2026-01-28 15:25:34][INFO] [Epoch 042] Loss=0.075337 | PDE=0.000881 | λ_pde=8.769e-01 | LR=2.50e-03
[2026-01-28 15:28:09][INFO] [Epoch 043] Loss=0.076579 | PDE=0.001184 | λ_pde=8.510e-01 | LR=2.50e-03
[2026-01-28 15:30:45][INFO] [Epoch 044] Loss=0.073749 | PDE=0.000645 | λ_pde=8.258e-01 | LR=1.25e-03
[2026-01-28 15:33:24][INFO] [Epoch 045] Loss=0.073415 | PDE=0.000494 | λ_pde=8.014e-01 | LR=1.25e-03
[2026-01-28 15:36:01][INFO] [Epoch 046] Loss=0.073334 | PDE=0.000515 | λ_pde=7.777e-01 | LR=1.25e-03
[2026-01-28 15:38:39][INFO] [Epoch 047] Loss=0.073244 | PDE=0.000519 | λ_pde=7.547e-01 | LR=1.25e-03
[2026-01-28 15:41:14][INFO] [Epoch 048] Loss=0.073298 | PDE=0.000538 | λ_pde=7.324e-01 | LR=1.25e-03
[2026-01-28 15:43:48][INFO] [Epoch 049] Loss=0.073160 | PDE=0.000553 | λ_pde=7.108e-01 | LR=1.25e-03
[2026-01-28 15:46:23][INFO] [Epoch 050] Loss=0.073199 | PDE=0.000602 | λ_pde=6.898e-01 | LR=1.25e-03
[2026-01-28 15:48:57][INFO] [Epoch 051] Loss=0.073146 | PDE=0.000622 | λ_pde=6.694e-01 | LR=1.25e-03
[2026-01-28 15:51:31][INFO] [Epoch 052] Loss=0.073359 | PDE=0.000731 | λ_pde=6.496e-01 | LR=1.25e-03
[2026-01-28 15:54:04][INFO] [Epoch 053] Loss=0.072997 | PDE=0.000675 | λ_pde=6.304e-01 | LR=1.25e-03
[2026-01-28 15:56:39][INFO] [Epoch 054] Loss=0.072884 | PDE=0.000697 | λ_pde=6.118e-01 | LR=1.25e-03
[2026-01-28 15:59:17][INFO] [Epoch 055] Loss=0.073096 | PDE=0.000816 | λ_pde=5.937e-01 | LR=1.25e-03
[2026-01-28 16:01:54][INFO] [Epoch 056] Loss=0.072884 | PDE=0.000863 | λ_pde=5.761e-01 | LR=1.25e-03
[2026-01-28 16:04:25][INFO] [Epoch 057] Loss=0.072858 | PDE=0.001086 | λ_pde=5.591e-01 | LR=1.25e-03
[2026-01-28 16:07:02][INFO] [Epoch 058] Loss=0.072697 | PDE=0.000794 | λ_pde=5.426e-01 | LR=1.25e-03
[2026-01-28 16:09:36][INFO] [Epoch 059] Loss=0.072720 | PDE=0.000874 | λ_pde=5.266e-01 | LR=1.25e-03
[2026-01-28 16:12:11][INFO] [Epoch 060] Loss=0.072625 | PDE=0.000930 | λ_pde=5.110e-01 | LR=1.25e-03
[2026-01-28 16:14:47][INFO] [Epoch 061] Loss=0.072949 | PDE=0.001122 | λ_pde=4.959e-01 | LR=1.25e-03
[2026-01-28 16:17:24][INFO] [Epoch 062] Loss=0.073935 | PDE=0.003274 | λ_pde=4.812e-01 | LR=1.25e-03
[2026-01-28 16:19:59][INFO] [Epoch 063] Loss=0.072239 | PDE=0.000930 | λ_pde=4.670e-01 | LR=1.25e-03
[2026-01-28 16:22:37][INFO] [Epoch 064] Loss=0.072283 | PDE=0.001031 | λ_pde=4.532e-01 | LR=1.25e-03
[2026-01-28 16:25:14][INFO] [Epoch 065] Loss=0.072293 | PDE=0.001148 | λ_pde=4.398e-01 | LR=1.25e-03
[2026-01-28 16:27:49][INFO] [Epoch 066] Loss=0.072422 | PDE=0.001221 | λ_pde=4.268e-01 | LR=1.25e-03
[2026-01-28 16:30:26][INFO] [Epoch 067] Loss=0.072191 | PDE=0.001275 | λ_pde=4.142e-01 | LR=1.25e-03
[2026-01-28 16:33:01][INFO] [Epoch 068] Loss=0.072252 | PDE=0.001323 | λ_pde=4.020e-01 | LR=1.25e-03
[2026-01-28 16:35:35][INFO] [Epoch 069] Loss=0.072225 | PDE=0.001393 | λ_pde=3.901e-01 | LR=1.25e-03
[2026-01-28 16:38:10][INFO] [Epoch 070] Loss=0.072464 | PDE=0.001580 | λ_pde=3.786e-01 | LR=1.25e-03
[2026-01-28 16:40:43][INFO] [Epoch 071] Loss=0.071626 | PDE=0.001538 | λ_pde=3.674e-01 | LR=1.25e-03
[2026-01-28 16:43:20][INFO] [Epoch 072] Loss=0.071653 | PDE=0.001642 | λ_pde=3.565e-01 | LR=1.25e-03
[2026-01-28 16:45:56][INFO] [Epoch 073] Loss=0.072477 | PDE=0.002990 | λ_pde=3.460e-01 | LR=1.25e-03
[2026-01-28 16:48:31][INFO] [Epoch 074] Loss=0.071842 | PDE=0.001720 | λ_pde=3.358e-01 | LR=1.25e-03
[2026-01-28 16:51:08][INFO] [Epoch 075] Loss=0.071520 | PDE=0.001838 | λ_pde=3.258e-01 | LR=1.25e-03
[2026-01-28 16:53:44][INFO] [Epoch 076] Loss=0.071405 | PDE=0.002002 | λ_pde=3.162e-01 | LR=1.25e-03
[2026-01-28 16:56:21][INFO] [Epoch 077] Loss=0.071288 | PDE=0.002169 | λ_pde=3.069e-01 | LR=1.25e-03
[2026-01-28 16:58:54][INFO] [Epoch 078] Loss=0.071281 | PDE=0.002184 | λ_pde=2.978e-01 | LR=1.25e-03
[2026-01-28 17:01:31][INFO] [Epoch 079] Loss=0.072054 | PDE=0.005026 | λ_pde=2.890e-01 | LR=1.25e-03
[2026-01-28 17:04:07][INFO] [Epoch 080] Loss=0.071258 | PDE=0.002238 | λ_pde=2.804e-01 | LR=1.25e-03
[2026-01-28 17:06:42][INFO] [Epoch 081] Loss=0.071307 | PDE=0.002345 | λ_pde=2.722e-01 | LR=1.25e-03
[2026-01-28 17:09:15][INFO] [Epoch 082] Loss=0.071249 | PDE=0.002687 | λ_pde=2.641e-01 | LR=1.25e-03
[2026-01-28 17:11:52][INFO] [Epoch 083] Loss=0.070780 | PDE=0.002391 | λ_pde=2.563e-01 | LR=1.25e-03
[2026-01-28 17:14:26][INFO] [Epoch 084] Loss=0.071080 | PDE=0.002680 | λ_pde=2.487e-01 | LR=1.25e-03
[2026-01-28 17:17:04][INFO] [Epoch 085] Loss=0.070865 | PDE=0.003172 | λ_pde=2.414e-01 | LR=1.25e-03
[2026-01-28 17:19:39][INFO] [Epoch 086] Loss=0.070867 | PDE=0.003277 | λ_pde=2.342e-01 | LR=1.25e-03
[2026-01-28 17:22:13][INFO] [Epoch 087] Loss=0.070830 | PDE=0.002929 | λ_pde=2.273e-01 | LR=1.25e-03
[2026-01-28 17:24:50][INFO] [Epoch 088] Loss=0.070533 | PDE=0.002987 | λ_pde=2.206e-01 | LR=1.25e-03
[2026-01-28 17:27:24][INFO] [Epoch 089] Loss=0.070869 | PDE=0.003598 | λ_pde=2.141e-01 | LR=1.25e-03
[2026-01-28 17:30:01][INFO] [Epoch 090] Loss=0.070498 | PDE=0.003232 | λ_pde=2.078e-01 | LR=1.25e-03
[2026-01-28 17:32:36][INFO] [Epoch 091] Loss=0.070388 | PDE=0.003292 | λ_pde=2.016e-01 | LR=1.25e-03
[2026-01-28 17:35:13][INFO] [Epoch 092] Loss=0.070692 | PDE=0.003646 | λ_pde=1.957e-01 | LR=1.25e-03
[2026-01-28 17:37:46][INFO] [Epoch 093] Loss=0.070713 | PDE=0.004624 | λ_pde=1.899e-01 | LR=1.25e-03
[2026-01-28 17:40:21][INFO] [Epoch 094] Loss=0.070260 | PDE=0.004030 | λ_pde=1.843e-01 | LR=1.25e-03
[2026-01-28 17:42:56][INFO] [Epoch 095] Loss=0.070368 | PDE=0.003997 | λ_pde=1.788e-01 | LR=1.25e-03
[2026-01-28 17:45:31][INFO] [Epoch 096] Loss=0.070640 | PDE=0.004609 | λ_pde=1.735e-01 | LR=1.25e-03
[2026-01-28 17:48:04][INFO] [Epoch 097] Loss=0.070209 | PDE=0.004122 | λ_pde=1.684e-01 | LR=1.25e-03
[2026-01-28 17:50:43][INFO] [Epoch 098] Loss=0.070092 | PDE=0.004477 | λ_pde=1.634e-01 | LR=1.25e-03
[2026-01-28 17:53:15][INFO] [Epoch 099] Loss=0.070033 | PDE=0.004391 | λ_pde=1.586e-01 | LR=1.25e-03
[2026-01-28 17:55:51][INFO] [Epoch 100] Loss=0.069971 | PDE=0.004690 | λ_pde=1.539e-01 | LR=1.25e-03
[2026-01-28 17:58:24][INFO] [Epoch 101] Loss=0.070706 | PDE=0.005748 | λ_pde=1.494e-01 | LR=1.25e-03
[2026-01-28 18:01:02][INFO] [Epoch 102] Loss=0.070139 | PDE=0.005478 | λ_pde=1.449e-01 | LR=1.25e-03
[2026-01-28 18:03:36][INFO] [Epoch 103] Loss=0.069852 | PDE=0.005337 | λ_pde=1.407e-01 | LR=1.25e-03
[2026-01-28 18:06:15][INFO] [Epoch 104] Loss=0.069970 | PDE=0.005681 | λ_pde=1.365e-01 | LR=1.25e-03
[2026-01-28 18:08:50][INFO] [Epoch 105] Loss=0.069754 | PDE=0.005886 | λ_pde=1.325e-01 | LR=1.25e-03
[2026-01-28 18:11:25][INFO] [Epoch 106] Loss=0.069668 | PDE=0.005992 | λ_pde=1.286e-01 | LR=1.25e-03
[2026-01-28 18:14:00][INFO] [Epoch 107] Loss=0.069785 | PDE=0.006600 | λ_pde=1.248e-01 | LR=1.25e-03
[2026-01-28 18:16:37][INFO] [Epoch 108] Loss=0.069904 | PDE=0.007011 | λ_pde=1.211e-01 | LR=1.25e-03
[2026-01-28 18:19:17][INFO] [Epoch 109] Loss=0.069999 | PDE=0.007401 | λ_pde=1.175e-01 | LR=1.25e-03
[2026-01-28 18:21:50][INFO] [Epoch 110] Loss=0.069702 | PDE=0.007659 | λ_pde=1.140e-01 | LR=1.25e-03
[2026-01-28 18:24:26][INFO] [Epoch 111] Loss=0.069570 | PDE=0.007675 | λ_pde=1.106e-01 | LR=1.25e-03
[2026-01-28 18:27:01][INFO] [Epoch 112] Loss=0.069498 | PDE=0.007942 | λ_pde=1.074e-01 | LR=1.25e-03
[2026-01-28 18:29:33][INFO] [Epoch 113] Loss=0.069435 | PDE=0.008430 | λ_pde=1.042e-01 | LR=1.25e-03
[2026-01-28 18:32:10][INFO] [Epoch 114] Loss=0.069813 | PDE=0.010881 | λ_pde=1.011e-01 | LR=1.25e-03
[2026-01-28 18:34:52][INFO] [Epoch 115] Loss=0.069331 | PDE=0.009455 | λ_pde=9.814e-02 | LR=1.25e-03
[2026-01-28 18:37:27][INFO] [Epoch 116] Loss=0.069287 | PDE=0.009735 | λ_pde=9.524e-02 | LR=1.25e-03
[2026-01-28 18:40:05][INFO] [Epoch 117] Loss=0.069225 | PDE=0.010067 | λ_pde=9.242e-02 | LR=1.25e-03
[2026-01-28 18:42:37][INFO] [Epoch 118] Loss=0.069130 | PDE=0.010610 | λ_pde=8.969e-02 | LR=1.25e-03
[2026-01-28 18:45:14][INFO] [Epoch 119] Loss=0.069194 | PDE=0.011282 | λ_pde=8.704e-02 | LR=1.25e-03
[2026-01-28 18:47:45][INFO] [Epoch 120] Loss=0.069492 | PDE=0.014105 | λ_pde=8.447e-02 | LR=1.25e-03
