[2026-01-29 10:29:51][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04c/exp02/train_20260129_102951_gpu2_pid1035485.log
[2026-01-29 10:29:51][INFO] 进程 PID: 1035485
[2026-01-29 10:29:51][INFO] ========== PINN 训练开始 ==========
[2026-01-29 10:29:51][INFO] 物理项权重 λ_pde = 0.5
[2026-01-29 10:29:51][INFO] 使用设备: cuda
[2026-01-29 10:29:51][INFO] 训练参数: {'lambda_pde': 0.5, 'epochs': 200, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.03, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04c/exp02', 'ckpt_dir': 'checkpoints/M04c/exp02'}
[2026-01-29 10:29:51][INFO] 数据集大小: 141 cases
[2026-01-29 10:29:51][INFO] 每 case 采样点数: 320000
[2026-01-29 10:29:52][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-29 10:29:52][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-29 10:32:08][INFO] [Epoch 001] MSE Loss=21028.383428 | PDE Loss=20.185416 | λ_pde=5.000e-01 | LR=5.00e-03
[2026-01-29 10:34:23][INFO] [Epoch 002] MSE Loss=942.247243 | PDE Loss=9.351224 | λ_pde=4.852e-01 | LR=5.00e-03
[2026-01-29 10:36:38][INFO] [Epoch 003] MSE Loss=834.612162 | PDE Loss=5.127458 | λ_pde=4.709e-01 | LR=5.00e-03
[2026-01-29 10:38:54][INFO] [Epoch 004] MSE Loss=822.555400 | PDE Loss=4.678543 | λ_pde=4.570e-01 | LR=5.00e-03
[2026-01-29 10:41:10][INFO] [Epoch 005] MSE Loss=834.133268 | PDE Loss=5.468112 | λ_pde=4.435e-01 | LR=5.00e-03
[2026-01-29 10:43:26][INFO] [Epoch 006] MSE Loss=813.223537 | PDE Loss=5.798854 | λ_pde=4.304e-01 | LR=5.00e-03
[2026-01-29 10:45:47][INFO] [Epoch 007] MSE Loss=796.533994 | PDE Loss=6.001567 | λ_pde=4.176e-01 | LR=5.00e-03
[2026-01-29 10:48:01][INFO] [Epoch 008] MSE Loss=815.611660 | PDE Loss=5.994555 | λ_pde=4.053e-01 | LR=5.00e-03
[2026-01-29 10:50:10][INFO] [Epoch 009] MSE Loss=752.713725 | PDE Loss=6.188218 | λ_pde=3.933e-01 | LR=5.00e-03
[2026-01-29 10:52:25][INFO] [Epoch 010] MSE Loss=842.684420 | PDE Loss=5.581914 | λ_pde=3.817e-01 | LR=5.00e-03
[2026-01-29 10:54:40][INFO] [Epoch 011] MSE Loss=800.757884 | PDE Loss=6.369376 | λ_pde=3.704e-01 | LR=5.00e-03
