[2026-01-29 10:29:51][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04c/exp06/train_20260129_102951_gpu1_pid1035513.log
[2026-01-29 10:29:51][INFO] 进程 PID: 1035513
[2026-01-29 10:29:51][INFO] ========== PINN 训练开始 ==========
[2026-01-29 10:29:51][INFO] 物理项权重 λ_pde = 1.0
[2026-01-29 10:29:51][INFO] 使用设备: cuda
[2026-01-29 10:29:51][INFO] 训练参数: {'lambda_pde': 1.0, 'epochs': 200, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.01, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04c/exp06', 'ckpt_dir': 'checkpoints/M04c/exp06'}
[2026-01-29 10:29:51][INFO] 数据集大小: 141 cases
[2026-01-29 10:29:51][INFO] 每 case 采样点数: 320000
[2026-01-29 10:29:52][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-29 10:29:52][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-29 10:32:06][INFO] [Epoch 001] MSE Loss=20907.902635 | PDE Loss=9.472186 | λ_pde=1.000e+00 | LR=5.00e-03
[2026-01-29 10:34:20][INFO] [Epoch 002] MSE Loss=936.678651 | PDE Loss=2.907504 | λ_pde=9.900e-01 | LR=5.00e-03
[2026-01-29 10:36:36][INFO] [Epoch 003] MSE Loss=850.533708 | PDE Loss=1.639823 | λ_pde=9.802e-01 | LR=5.00e-03
[2026-01-29 10:38:53][INFO] [Epoch 004] MSE Loss=813.892145 | PDE Loss=1.467346 | λ_pde=9.704e-01 | LR=5.00e-03
[2026-01-29 10:41:08][INFO] [Epoch 005] MSE Loss=835.592375 | PDE Loss=1.522230 | λ_pde=9.608e-01 | LR=5.00e-03
[2026-01-29 10:43:22][INFO] [Epoch 006] MSE Loss=819.344122 | PDE Loss=1.884854 | λ_pde=9.512e-01 | LR=5.00e-03
[2026-01-29 10:45:40][INFO] [Epoch 007] MSE Loss=782.772093 | PDE Loss=2.184623 | λ_pde=9.418e-01 | LR=5.00e-03
[2026-01-29 10:47:57][INFO] [Epoch 008] MSE Loss=785.987324 | PDE Loss=2.375679 | λ_pde=9.324e-01 | LR=5.00e-03
[2026-01-29 10:50:09][INFO] [Epoch 009] MSE Loss=855.933001 | PDE Loss=2.275078 | λ_pde=9.231e-01 | LR=5.00e-03
[2026-01-29 10:52:25][INFO] [Epoch 010] MSE Loss=867.404415 | PDE Loss=2.509118 | λ_pde=9.139e-01 | LR=5.00e-03
[2026-01-29 10:54:40][INFO] [Epoch 011] MSE Loss=835.447626 | PDE Loss=3.059510 | λ_pde=9.048e-01 | LR=5.00e-03
[2026-01-29 10:56:54][INFO] [Epoch 012] MSE Loss=770.066298 | PDE Loss=3.483736 | λ_pde=8.958e-01 | LR=5.00e-03
[2026-01-29 10:59:09][INFO] [Epoch 013] MSE Loss=755.904566 | PDE Loss=3.881594 | λ_pde=8.869e-01 | LR=5.00e-03
[2026-01-29 11:01:27][INFO] [Epoch 014] MSE Loss=780.199512 | PDE Loss=4.373147 | λ_pde=8.781e-01 | LR=5.00e-03
[2026-01-29 11:03:42][INFO] [Epoch 015] MSE Loss=748.881959 | PDE Loss=4.922198 | λ_pde=8.694e-01 | LR=5.00e-03
[2026-01-29 11:05:54][INFO] [Epoch 016] MSE Loss=756.134574 | PDE Loss=5.421439 | λ_pde=8.607e-01 | LR=5.00e-03
[2026-01-29 11:08:12][INFO] [Epoch 017] MSE Loss=737.723028 | PDE Loss=6.334323 | λ_pde=8.521e-01 | LR=5.00e-03
[2026-01-29 11:10:29][INFO] [Epoch 018] MSE Loss=718.773743 | PDE Loss=7.218467 | λ_pde=8.437e-01 | LR=5.00e-03
[2026-01-29 11:12:46][INFO] [Epoch 019] MSE Loss=749.923126 | PDE Loss=10.037990 | λ_pde=8.353e-01 | LR=5.00e-03
[2026-01-29 11:15:06][INFO] [Epoch 020] MSE Loss=755.325477 | PDE Loss=10.379699 | λ_pde=8.270e-01 | LR=5.00e-03
[2026-01-29 11:17:24][INFO] [Epoch 021] MSE Loss=717.134353 | PDE Loss=11.397589 | λ_pde=8.187e-01 | LR=5.00e-03
[2026-01-29 11:19:36][INFO] [Epoch 022] MSE Loss=780.103518 | PDE Loss=14.776936 | λ_pde=8.106e-01 | LR=5.00e-03
