[2026-02-02 10:56:21][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04d1/exp01/train_20260202_105621_gpu1_pid1944449.log
[2026-02-02 10:56:21][INFO] 进程 PID: 1944449
[2026-02-02 10:56:21][INFO] ========== PINN 训练开始 ==========
[2026-02-02 10:56:21][INFO] 物理项 λ_pde = 0.0
[2026-02-02 10:56:21][INFO] 使用设备: cuda
[2026-02-02 10:56:21][INFO] 训练参数: {'lambda_pde': 0.0, 'epochs': 210, 'lr': 0.005, 'batch_cases': 1, 'lr_scheduler': 'hybrid', 'cosine_eta_min': 1e-05, 'cosine_t0': 30, 'cosine_tmult': 2, 'plateau_factor': 0.5, 'plateau_patience': 6, 'plateau_min_lr': 1e-05, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.2, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04d1/exp01', 'ckpt_dir': 'checkpoints/M04d1/exp01'}
[2026-02-02 10:56:21][INFO] 数据集大小: 141 cases
[2026-02-02 10:56:21][INFO] 每 case 采样点数: 320000
[2026-02-02 10:56:22][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-02-02 10:56:22][INFO] 优化器: AdamW, 初始 lr=0.005, 学习率调度器: hybrid
[2026-02-02 10:59:03][INFO] [Epoch 001] MSE Loss=14197.314153 | PDE Loss=0.069423 | λ_pde=0.000e+00 | LR=5.00e-03
[2026-02-02 11:01:42][INFO] [Epoch 002] MSE Loss=6189.669654 | PDE Loss=0.064219 | λ_pde=0.000e+00 | LR=4.99e-03
[2026-02-02 11:04:21][INFO] [Epoch 003] MSE Loss=4388.209340 | PDE Loss=0.057836 | λ_pde=0.000e+00 | LR=4.95e-03
[2026-02-02 11:07:01][INFO] [Epoch 004] MSE Loss=3695.916465 | PDE Loss=0.051844 | λ_pde=0.000e+00 | LR=4.88e-03
[2026-02-02 11:09:39][INFO] [Epoch 005] MSE Loss=2852.576749 | PDE Loss=0.056487 | λ_pde=0.000e+00 | LR=4.78e-03
[2026-02-02 11:12:17][INFO] [Epoch 006] MSE Loss=2301.662801 | PDE Loss=0.074922 | λ_pde=0.000e+00 | LR=4.67e-03
[2026-02-02 11:14:56][INFO] [Epoch 007] MSE Loss=1942.017872 | PDE Loss=0.083843 | λ_pde=0.000e+00 | LR=4.52e-03
[2026-02-02 11:17:34][INFO] [Epoch 008] MSE Loss=1536.286024 | PDE Loss=0.087555 | λ_pde=0.000e+00 | LR=4.36e-03
[2026-02-02 11:20:14][INFO] [Epoch 009] MSE Loss=947.419571 | PDE Loss=0.095214 | λ_pde=0.000e+00 | LR=4.17e-03
[2026-02-02 11:22:57][INFO] [Epoch 010] MSE Loss=791.591788 | PDE Loss=0.094609 | λ_pde=0.000e+00 | LR=3.97e-03
[2026-02-02 11:25:39][INFO] [Epoch 011] MSE Loss=557.520941 | PDE Loss=0.103131 | λ_pde=0.000e+00 | LR=3.75e-03
[2026-02-02 11:28:20][INFO] [Epoch 012] MSE Loss=404.984627 | PDE Loss=0.118706 | λ_pde=0.000e+00 | LR=3.52e-03
[2026-02-02 11:31:02][INFO] [Epoch 013] MSE Loss=258.095996 | PDE Loss=0.133513 | λ_pde=0.000e+00 | LR=3.28e-03
[2026-02-02 11:33:39][INFO] [Epoch 014] MSE Loss=228.906695 | PDE Loss=0.151186 | λ_pde=0.000e+00 | LR=3.02e-03
[2026-02-02 11:36:23][INFO] [Epoch 015] MSE Loss=167.871150 | PDE Loss=0.168417 | λ_pde=0.000e+00 | LR=2.77e-03
[2026-02-02 11:39:06][INFO] [Epoch 016] MSE Loss=158.446092 | PDE Loss=0.188903 | λ_pde=0.000e+00 | LR=2.51e-03
[2026-02-02 11:41:49][INFO] [Epoch 017] MSE Loss=128.737176 | PDE Loss=0.213113 | λ_pde=0.000e+00 | LR=2.24e-03
[2026-02-02 11:44:25][INFO] [Epoch 018] MSE Loss=122.235786 | PDE Loss=0.237015 | λ_pde=0.000e+00 | LR=1.99e-03
[2026-02-02 11:47:05][INFO] [Epoch 019] MSE Loss=117.448972 | PDE Loss=0.266051 | λ_pde=0.000e+00 | LR=1.73e-03
[2026-02-02 11:49:44][INFO] [Epoch 020] MSE Loss=112.253094 | PDE Loss=0.290745 | λ_pde=0.000e+00 | LR=1.49e-03
[2026-02-02 11:52:25][INFO] [Epoch 021] MSE Loss=108.538942 | PDE Loss=0.314933 | λ_pde=0.000e+00 | LR=1.26e-03
[2026-02-02 11:55:02][INFO] [Epoch 022] MSE Loss=104.804453 | PDE Loss=0.333286 | λ_pde=0.000e+00 | LR=1.04e-03
[2026-02-02 11:57:41][INFO] [Epoch 023] MSE Loss=102.782595 | PDE Loss=0.356053 | λ_pde=0.000e+00 | LR=8.36e-04
[2026-02-02 12:00:19][INFO] [Epoch 024] MSE Loss=100.752713 | PDE Loss=0.367316 | λ_pde=0.000e+00 | LR=6.51e-04
[2026-02-02 12:02:59][INFO] [Epoch 025] MSE Loss=99.221884 | PDE Loss=0.379047 | λ_pde=0.000e+00 | LR=4.87e-04
[2026-02-02 12:05:40][INFO] [Epoch 026] MSE Loss=97.880943 | PDE Loss=0.384982 | λ_pde=0.000e+00 | LR=3.44e-04
[2026-02-02 12:08:22][INFO] [Epoch 027] MSE Loss=97.209588 | PDE Loss=0.392992 | λ_pde=0.000e+00 | LR=2.26e-04
[2026-02-02 12:11:01][INFO] [Epoch 028] MSE Loss=96.362375 | PDE Loss=0.395877 | λ_pde=0.000e+00 | LR=1.32e-04
[2026-02-02 12:13:39][INFO] [Epoch 029] MSE Loss=96.117887 | PDE Loss=0.399306 | λ_pde=0.000e+00 | LR=6.45e-05
[2026-02-02 12:16:18][INFO] [Epoch 030] MSE Loss=95.938868 | PDE Loss=0.400610 | λ_pde=0.000e+00 | LR=2.37e-05
[2026-02-02 12:18:58][INFO] [Epoch 031] MSE Loss=238.028368 | PDE Loss=0.447869 | λ_pde=0.000e+00 | LR=5.00e-03
[2026-02-02 12:21:42][INFO] [Epoch 032] MSE Loss=122.883551 | PDE Loss=0.531287 | λ_pde=0.000e+00 | LR=5.00e-03
[2026-02-02 12:24:20][INFO] [Epoch 033] MSE Loss=127.008411 | PDE Loss=0.638322 | λ_pde=0.000e+00 | LR=4.99e-03
[2026-02-02 12:26:59][INFO] [Epoch 034] MSE Loss=204.661727 | PDE Loss=0.750301 | λ_pde=0.000e+00 | LR=4.97e-03
[2026-02-02 12:29:43][INFO] [Epoch 035] MSE Loss=233.753425 | PDE Loss=0.957940 | λ_pde=0.000e+00 | LR=4.95e-03
[2026-02-02 12:32:22][INFO] [Epoch 036] MSE Loss=110.748567 | PDE Loss=1.059718 | λ_pde=0.000e+00 | LR=4.91e-03
[2026-02-02 12:35:01][INFO] [Epoch 037] MSE Loss=73.716293 | PDE Loss=1.202104 | λ_pde=0.000e+00 | LR=4.88e-03
[2026-02-02 12:37:38][INFO] [Epoch 038] MSE Loss=85.021006 | PDE Loss=1.333956 | λ_pde=0.000e+00 | LR=4.83e-03
[2026-02-02 12:40:17][INFO] [Epoch 039] MSE Loss=151.083090 | PDE Loss=1.458431 | λ_pde=0.000e+00 | LR=4.78e-03
[2026-02-02 12:42:56][INFO] [Epoch 040] MSE Loss=274.076290 | PDE Loss=1.488342 | λ_pde=0.000e+00 | LR=4.73e-03
[2026-02-02 12:45:35][INFO] [Epoch 041] MSE Loss=71.570646 | PDE Loss=1.535033 | λ_pde=0.000e+00 | LR=4.67e-03
[2026-02-02 12:48:16][INFO] [Epoch 042] MSE Loss=61.898657 | PDE Loss=1.654860 | λ_pde=0.000e+00 | LR=4.60e-03
[2026-02-02 12:50:52][INFO] [Epoch 043] MSE Loss=60.118323 | PDE Loss=1.800358 | λ_pde=0.000e+00 | LR=4.52e-03
[2026-02-02 12:53:35][INFO] [Epoch 044] MSE Loss=64.103515 | PDE Loss=1.880472 | λ_pde=0.000e+00 | LR=4.44e-03
[2026-02-02 12:56:17][INFO] [Epoch 045] MSE Loss=57.480110 | PDE Loss=2.024204 | λ_pde=0.000e+00 | LR=4.36e-03
[2026-02-02 12:58:57][INFO] [Epoch 046] MSE Loss=66.199836 | PDE Loss=2.171800 | λ_pde=0.000e+00 | LR=4.27e-03
[2026-02-02 13:01:39][INFO] [Epoch 047] MSE Loss=66.264991 | PDE Loss=2.351084 | λ_pde=0.000e+00 | LR=4.17e-03
[2026-02-02 13:04:19][INFO] [Epoch 048] MSE Loss=62.408762 | PDE Loss=2.538824 | λ_pde=0.000e+00 | LR=4.08e-03
[2026-02-02 13:07:02][INFO] [Epoch 049] MSE Loss=45.829636 | PDE Loss=2.754919 | λ_pde=0.000e+00 | LR=3.97e-03
[2026-02-02 13:09:43][INFO] [Epoch 050] MSE Loss=80.536443 | PDE Loss=3.004263 | λ_pde=0.000e+00 | LR=3.86e-03
[2026-02-02 13:12:21][INFO] [Epoch 051] MSE Loss=70.522585 | PDE Loss=3.119954 | λ_pde=0.000e+00 | LR=3.75e-03
[2026-02-02 13:15:03][INFO] [Epoch 052] MSE Loss=43.681462 | PDE Loss=3.392035 | λ_pde=0.000e+00 | LR=3.64e-03
[2026-02-02 13:17:45][INFO] [Epoch 053] MSE Loss=43.739325 | PDE Loss=3.655643 | λ_pde=0.000e+00 | LR=3.52e-03
[2026-02-02 13:20:26][INFO] [Epoch 054] MSE Loss=44.432850 | PDE Loss=3.998973 | λ_pde=0.000e+00 | LR=3.40e-03
[2026-02-02 13:23:04][INFO] [Epoch 055] MSE Loss=45.466321 | PDE Loss=4.285775 | λ_pde=0.000e+00 | LR=3.28e-03
[2026-02-02 13:25:42][INFO] [Epoch 056] MSE Loss=47.268626 | PDE Loss=4.620329 | λ_pde=0.000e+00 | LR=3.15e-03
[2026-02-02 13:28:23][INFO] [Epoch 057] MSE Loss=44.019903 | PDE Loss=4.874519 | λ_pde=0.000e+00 | LR=3.02e-03
[2026-02-02 13:31:02][INFO] [Epoch 058] MSE Loss=41.198680 | PDE Loss=5.209396 | λ_pde=0.000e+00 | LR=2.90e-03
